sample	unit	fq1	fq2
FOXA1_EtOH	1	data/SRR652255_1.fastq.gz	data/SRR652255_2.fastq.gz
FOXA1_DHT	1	data/SRR652256_1.fastq.gz	data/SRR652256_2.fastq.gz
LNCaP_EtOH_rep1	1	data/SRR653215_1.fastq.gz	data/SRR653215_2.fastq.gz
LNCaP_EtOH_rep2	1	data/SRR653216_1.fastq.gz	data/SRR653216_2.fastq.gz
LNCaP_DHT_rep1	1	data/SRR653219_1.fastq.gz	data/SRR653219_2.fastq.gz
LNCaP_DHT_rep2	1	data/SRR653220_1.fastq.gz	data/SRR653220_2.fastq.gz
N1_rep1	1	data/SRR653223_1.fastq.gz	data/SRR653223_2.fastq.gz
N1_rep2	1	data/SRR653224_1.fastq.gz	data/SRR653224_2.fastq.gz
N2_rep1	1	data/SRR653225_1.fastq.gz	data/SRR653225_2.fastq.gz
N2_rep2	1	data/SRR653226_1.fastq.gz	data/SRR653226_2.fastq.gz
M1_rep1	1	data/SRR653227_1.fastq.gz	data/SRR653227_2.fastq.gz
M1_rep2	1	data/SRR653228_1.fastq.gz	data/SRR653228_2.fastq.gz
M2_rep1	1	data/SRR653229_1.fastq.gz	data/SRR653229_2.fastq.gz
M2_rep2	1	data/SRR653230_1.fastq.gz	data/SRR653230_2.fastq.gz
M3_rep1	1	data/SRR653231_1.fastq.gz	data/SRR653231_2.fastq.gz
M3_rep2	1	data/SRR653232_1.fastq.gz	data/SRR653232_2.fastq.gz
M4_rep1	1	data/SRR653233_1.fastq.gz	data/SRR653233_2.fastq.gz
M4_rep2	1	data/SRR653234_1.fastq.gz	data/SRR653234_2.fastq.gz
Bicalutamide_rep1	1	data/SRR999224_1.fastq.gz	data/SRR999224_2.fastq.gz
Bicalutamide_rep2	1	data/SRR999225_1.fastq.gz	data/SRR999225_2.fastq.gz
Enzalutamide_rep1	1	data/SRR999228_1.fastq.gz	data/SRR999228_2.fastq.gz
Enzalutamide_rep2	1	data/SRR999229_1.fastq.gz	data/SRR999229_2.fastq.gz
